date,rtn
2017/12/1,-0.010853329
2017/12/8,-0.00836162
2017/12/15,-0.007277283
2017/12/22,0.009424101
2017/12/29,0.003061402
2018/1/5,0.025252568
2018/1/12,0.010905338
2018/1/19,0.017038135
2018/1/26,0.019945274
2018/2/2,-0.027364993
2018/2/9,-0.10088446
2018/2/14,0.021902596
2018/2/23,0.027702963
2018/3/2,-0.010543545
2018/3/9,0.016044159
2018/3/16,-0.011337579
2018/3/23,-0.036475416
2018/3/30,0.005104938
2018/4/4,-0.01199543
2018/4/13,0.008883993
2018/4/20,-0.028092136
2018/4/27,0.003474002
2018/5/4,0.002851589
2018/5/11,0.023098684
2018/5/18,0.009451777
2018/5/25,-0.016418184
2018/6/1,-0.021288228
2018/6/8,-0.002601444
2018/6/15,-0.014862037
2018/6/22,-0.04471248
2018/6/29,-0.014760904
2018/7/6,-0.035820069
2018/7/13,0.030102307
2018/7/20,-0.000675741
2018/7/27,0.01554429
2018/8/3,-0.047443892
2018/8/10,0.019823427
2018/8/17,-0.046251846
2018/8/24,0.022401958
2018/8/31,-0.001532959
2018/9/7,-0.008456609
2018/9/14,-0.007673818
2018/9/21,0.042291024
2018/9/28,0.008494801
2018/10/12,-0.079048958
2018/10/19,-0.021890797
2018/10/26,0.018792034
2018/11/2,0.02943327
2018/11/9,-0.029423766
2018/11/16,0.030407225
2018/11/23,-0.037895508
2018/11/30,0.003368794
2018/12/7,0.006815523
2018/12/14,-0.004672227
2018/12/21,-0.030331183
2018/12/28,-0.00892371
2019/1/4,0.00837417
2019/1/11,0.015374306
2019/1/18,0.016379254
2019/1/25,0.002200116
2019/2/1,0.006325324
2019/2/15,0.024206929
2019/2/22,0.044421312
2019/3/1,0.06548432
2019/3/8,-0.008096671
2019/3/15,0.017321246
2019/3/22,0.026902976
2019/3/29,-0.004323139
2019/4/4,0.049183117
2019/4/12,-0.018009508
2019/4/19,0.0254438
2019/4/26,-0.058028771
2019/4/30,-0.002614873
2019/5/10,-0.046249091
2019/5/17,-0.019553774
2019/5/24,-0.010218019
2019/5/31,0.015891766
2019/6/6,-0.024762769
2019/6/14,0.018977334
2019/6/21,0.040796557
2019/6/28,-0.007725284
2019/7/5,0.010744924
2019/7/12,-0.027102956
2019/7/19,-0.002167678
2019/7/26,0.006931803
2019/8/2,-0.026394651
2019/8/9,-0.03299649
2019/8/16,0.017530118
2019/8/23,0.025730591
2019/8/30,-0.003869111
2019/9/6,0.038525976
2019/9/12,0.01049078
2019/9/20,-0.008211277
2019/9/27,-0.025017143
2019/9/30,-0.009243223
2019/10/11,0.023293588
2019/10/18,-0.012014934
2019/10/25,0.005698705
2019/11/1,0.001104829
2019/11/8,0.002021383
2019/11/15,-0.024880953
2019/11/22,-0.002096274
2019/11/29,-0.00462272
2019/12/6,0.013842661
2019/12/13,0.018934489
2019/12/20,0.012477513
2019/12/27,3.26E-05
2019/12/31,0.014892864
